Company,Founded In,Current Status,Sector,Val_inCr,fun_inCr,Headquarters,Operating Revenue (FY23),Operating Revenue (FY22),Loss/ Profit (FY23),Loss/ Profit (FY22),Employee Benefit (FY23),Employee Benefit (FY22),Advertisement Spends (FY23),Advertisement Spend (FY22),Years to Unicorn,,,,,,,,
Tracxn,2013,Private Limited,Edtech,225,4.11,Bengaluru,78.1,63.4,33,-4.8,66.9,58.5,–,–,,,,,,,,,
True Elements,2011,Private Limited,Consumer goods,125,2.71,Pune,57.3,45.8,-18.6,-13.6,14.4,10.6,15,7.7,,,,,,,,,
Unicommerce,2012,Private Limited,Ecommerce,225,13,Delhi-NCR,90,59,6.4,5.9,62,42.3,3.9,2.6,,,,,,,,,
Yulu Bikes,2017,Private Limited,Logistics,350,130.14,Bengaluru,41.7,29,-95,-55.5,68,43.1,–,–,,,,,,,,,
LEAD,2012,Private Limited,Edtech,765,185.2,Mumbai,273.1,132.3,-321.9,-395.3,285.4,256.4,24.5,76.4,,,,,,,,,
NeoGrowth,2013,Private Limited,Fintech,125,188.9,Mumbai,380.8,361.5,17.2,-39.4,78.7,67.7,,,,,,,,,,,
Indifi,2015,Private Limited,Fintech,380,116.5,Delhi-NCR,197.9,96,5.1,-32.8,55.7,43.9,2.2,1.4,,,,,,,,,
BlueStone,2011,Private Limited,Consumer Services,700,100,Mumbai,770.7,461.3,-1268.4,-167.2,91.1,41.7,84.1,42.3,,,,,,,,,
Matrimony,1969,Acquired,Consumer Services,125,30.5,Chennai,455.7,434.4,46.6,53.5,144,132.3,182.3,162.1,,,,,,,,,
Noise,2014,Private Limited,Consumer Services,465,229,Delhi-NCR,1426.5,792.8,0.9,35.5,50.5,21.3,284.9,89.1,,,,,,,,,
Paper Boat,2013,Private Limited,Consumer Services,200,153.7,Bengaluru,504,324,-90.6,-53,54.7,42,13.2,11.9,,,,,,,,,
PB Fintech,2008,Private Limited,Fintech,205,30.8,Mumbai,2557.8,1424.8,-487.9,-832.9,1539.6,1255.5,1357.2,864.4,14,,,,,,,,
RateGain,2004,Private Limited,Travel tech,125,30.9,Delhi-NCR,565.1,366.5,68.4,8.4,252.7,191.3,–,–,,,,,,,,,
Bira 91,2015,Private Limited,Consumer Services,350,336.2,Delhi-NCR,824.3,718.8,-445.4,-396,114.9,93.5,85.5,99.5,,,,,,,,,
Cashfree Payments,2015,Private Limited,Fintech,250,40.1,Bengaluru,613.8,349.9,-133.1,-3,198.4,95.6,37.9,16,,,,,,,,,
Jar,2021,Private Limited,Not available,25,5.3,Bengaluru,8.7,0.7,-122.8,-69.5,41,13.3,68.2,46.5,,,,,,,,,
Droneacharya,2017,Private Limited,Enterprisetech,25,5.6,Pune,18.5,3.5,3.4,0.4,4.5,1.8,–,–,,,,,,,,,
Rapipay,2009,Private Limited,Fintech,25,5.7,Delhi-NCR,439.2,371.4,-93.2,-39.9,114.1,42.4,–,–,,,,,,,,,
Recykal,2017,Private Limited,Waste Management,25,5.8,Hyderabad,745,190.4,-25.7,1.2,29.6,13.2,1,0.2,,,,,,,,,
Skyroot Aersopace,2018,Private Limited,Logistics,125,5.9,Hyderabad,0.4,0.01,-55.2,-23.7,16.5,8,,,,,,,,,,,
Medibuddy,2013,Private Limited,HealthTech,250,50.1,Bengaluru,298,234.1,-321.7,-259.3,135.1,70.9,114.5,119.5,,,,,,,,,
True Balance,2014,Private Limited,Consumer goods,600,50.11,Delhi-NCR,431.1,243.8,58.8,3.4,39.5,24.7,29.2,51,,,,,,,,,
INDMoney,2019,Private Limited,Fintech,250,50.2,Delhi-NCR,40.6,22,-73.9,-68.6,111.9,42.3,41,57,,,,,,,,,
MSwipe,2011,Private Limited,Fintech,225,50.3,Mumbai,274.5,240.7,-49.1,-90,79.1,86.6,–,–,,,,,,,,,
Jupiter,2019,Private Limited,Fintech,250,50.4,Mumbai,7.1,0.4,-327,-156.3,158.5,63.6,74.5,50.1,,,,,,,,,
Jumbotail,2015,Private Limited,Ecommerce,250,50.5,Bengaluru,819,377.36,-264.1,-124.7,101.5,52.3,17.11,9.1,,,,,,,,,
Nazara,1999,Private Limited,Media & Entertainment,250,50.6,Mumbai,1091,621.7,61.4,50.7,149,88.1,239.9,201.7,,,,,,,,,
HomeLane,2014,Private Limited,Consumer Services,250,50.7,Bengaluru,573.8,426.1,-173.5,-150.8,191.5,119.4,71.3,70.3,,,,,,,,,
PayMate,2006,IPO-Bound,Fintech,804,50.8,Mumbai,1350,1280.9,-55.7,-57.7,50.5,49.7,,,,,,,,,,,
Servify,2015,Private Limited,Consumer Services,60,50.9,Mumbai,611.2,313,-229.1,-2860.8,182.7,126.2,,,,,,,,,,,
CaratLane,2008,Private Limited,Consumer Services,200,52.3,Chennai,2168.8,1255.6,82,89.2,135.4,89.6,171.5,97.8,15,,,,,,,,
Cleartrip,2006,Private Limited,Travel tech,250,75.2,Mumbai,49.8,55.3,-676.5,-356.4,247,90.2,183.7,91.9,,,,,,,,,
Beardo,2015,Private Limited,Consumer Services,40,8.6,Ahmedabad,106.6,94.8,-6.1,0.7,12.6,10.5,41.3,40.5,,,,,,,,,
Awfis,2015,Private Limited,Employment,250,80.3,Delhi-NCR,545.3,257,-46.6,-57.1,95.8,54.1,–,–,,,,,,,,,
Zerodha,2010,Unlisted Public Company,Fintech,200,,Bengaluru,6832.8,4977.3,2909,2120.3,623,459,0,0,10,,,,,,,,
EaseMyTrip,2008,Private Limited,Travel tech,100,350,Delhi-NCR,448.8,235.3,134.1,105.9,52.4,25.8,82.9,32.9,13,,,,,,,,
Acko,2016,Private Limited,Fintech,110,458,Bengaluru,1758.6,1334.4,-738.5,-482.3,349.3,183,559.2,309,,,,,,,,,
Apna,2019,Private Limited,Marketplace- Employment,110,194,Bengaluru,180.3,63.8,-120.3,-112.5,203.7,77.8,62,86,,,,,,,,,
Purplle,2011,Private Limited,Ecommerce,110,387,Mumbai,474.9,219.8,-230,-203.6,170.5,85.1,266.5,176.9,,,,,,,,,
Tata 1mg,2015,Subsidiary,HealthTech,125,231,Mumbai,1627,627,-1254.8,-526.1,354.3,219.8,135.2,180.3,,,,,,,,,
Shiprocket,2017,Private Limited,Logistics,130,393,Delhi-NCR,1088.8,610.5,-333.8,-63.6,318.2,122,23.5,24.3,,,,,,,,,
Zepto,2020,Private Limited,Ecommerce,140,592,Mumbai,2024.3,140.7,-1272,-390.3,263,50.73,215.8,175.5,,,,,,,,,
Bigbasket B2B,2011,Acquired,Ecommerce,320,102,Bengaluru,9468.4,8497.7,-1785.4,-1040.6,1060.7,915.1,385.1,200.4,,,,,,,,,
Bigbasket B2C,2011,Acquired,Ecommerce,320,102,Bengaluru,7434,7095.9,-1535.2,-812.7,915.6,739.2,384.7,183.9,,,,,,,,,
Flipkart B2B,2007,Unlisted,Ecommerce,3760,100,Bengaluru,55923.9,50992.5,-4845.7,-3404.3,639.2,627.4,,,,,,,,,,,
Flipkart B2C,2007,Unlisted,Ecommerce,3760,100,Bengaluru,14845.8,10477.4,-4026.5,-4419.5,4482.2,3735.7,2407.5,1945.9,,,,,,,,,
VerSe Innovation,2018,Private Limited,Media & Entertainment,500,217,Bengaluru,1456.5,964.7,-1909.7,-2563.3,811.4,731,,,,,,,,,,,
